Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,fatal,EMSTransport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
19-025508,2019-03-17 21:29:00,21.5,6220 Vance Rd,,Chattanooga,Hamilton,Airways Blvd,,4,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.032936,-85.18724,POINT (-85.18724 35.032936),"(35.032936, -85.187240)",1,2019,3,17,21,6
19-026306,2019-03-20 08:50:00,9.0,600 Chestnut St,,Chattanooga,Hamilton,Non intersection,,1,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.049623,-85.311696,POINT (-85.311696 35.049623),"(35.049623, -85.311696)",4,2019,3,20,8,2
19-027827,2019-03-24 17:15:00,17.5,3227 7th Ave,,Chattanooga,Hamilton,7th Ave,,5,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.003877,-85.283758,POINT (-85.283758 35.003877),"(35.003877, -85.283758)",4,2019,3,24,17,6
19-028248,2019-03-25 20:40:00,20.5,Cummings Hwy,SR-3550,Chattanooga,Hamilton,Hemlock Cir,,5,0,0,0,1,0,15.0,1,4,1,0,0.0,0.0,35.01654,-85.377148,POINT (-85.377148 35.01654),"(35.016540, -85.377148)",0,2019,3,25,20,0
19-030455,2019-04-01 01:25:00,1.5,3100 Rossville Blvd,SR-1,Chattanooga,Hamilton,E 31st,,1,0,0,0,1,0,40.0,1,0,1,0,0.0,1.0,35.008603,-85.292886,POINT (-85.292886 35.008603),"(35.008603, -85.292886)",0,2019,4,1,1,0
19-030883,2019-04-02 08:35:00,8.5,4816 Hixson Pike,,Chattanooga,Hamilton,Williams Rd,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.126591,-85.246563,POINT (-85.246563 35.126591),"(35.126591, -85.246563)",4,2019,4,2,8,1
19-033780,2019-04-10 10:45:00,11.0,300 Manufacturers Rd,,Chattanooga,Hamilton,Cherokee Blvd,,1,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.06339,-85.31415,POINT (-85.31415 35.06339),"(35.063390, -85.314150)",4,2019,4,10,10,2
19-034013,2019-04-10 20:00:00,20.0,1416 Cypress Street Ct,SR-1416,Chattanooga,Hamilton,W Main St,,1,0,1,0,1,0,15.0,1,0,1,0,0.0,0.0,35.041002,-85.318266,POINT (-85.318266 35.041002),"(35.041002, -85.318266)",4,2019,4,10,20,2
19-036604,2019-04-17 17:14:00,17.0,E Martin Luther King Blvd,,Chattanooga,Hamilton,Peeples St,,1,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.042295,-85.298807,POINT (-85.298807 35.042295),"(35.042295, -85.298807)",4,2019,4,17,17,2
19-036825,2019-04-18 09:55:00,10.0,Market St,,Chattanooga,Hamilton,E 10th St,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.044862,-85.309402,POINT (-85.309402 35.044862),"(35.044862, -85.309402)",4,2019,4,18,9,3
19-037042,2019-04-18 19:00:00,19.0,Dodson Ave,SR-911,Chattanooga,Hamilton,Rawlings St,,1,0,1,0,1,0,40.0,1,0,1,0,0.0,0.0,35.046597,-85.263677,POINT (-85.263677 35.046597),"(35.046597, -85.263677)",0,2019,4,18,19,3
19-043063,2019-05-04 23:30:00,23.5,2500 4th Ave,,Chattanooga,Hamilton,E 25th St,,1,0,1,0,1,0,30.0,1,6,1,0,,,35.014365,-85.281598,POINT (-85.281598 35.014365),"(35.014365, -85.281598)",6,2019,5,4,23,5
19-044169,2019-05-08 14:40:00,14.5,5110 Hixson Pike,,Chattanooga,Hamilton,North Point Blvd,,4,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.135988,-85.238801,POINT (-85.238801 35.135988),"(35.135988, -85.238801)",4,2019,5,8,14,2
19-045889,2019-05-13 06:09:00,6.0,E 42nd St,,Chattanooga,Hamilton,Dorris St,,4,0,1,0,1,0,15.0,1,0,1,0,,,35.001651,-85.311095,POINT (-85.311095 35.001651),"(35.001651, -85.311095)",3,2019,5,13,6,0
19-051674,2019-05-28 16:11:00,16.0,E Main St,,Chattanooga,Hamilton,S Holtzclaw Ave,,5,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.028961,-85.288147,POINT (-85.288147 35.028961),"(35.028961, -85.288147)",4,2019,5,28,16,1
19-056824,2019-06-11 12:45:00,13.0,1538 Lillian Ln,,Chattanooga,Hamilton,Wilcox Blvd,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.046372,-85.235016,POINT (-85.235016 35.046372),"(35.046372, -85.235016)",4,2019,6,11,12,1
19-059891,2019-06-20 01:25:00,1.5,Rossville Blvd,SR-4000,Chattanooga,Hamilton,E 40th St,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,34.997339,-85.291703,POINT (-85.291703 34.997339),"(34.997339, -85.291703)",1,2019,6,20,1,3
19-063597,2019-06-29 13:50:00,14.0,8164 E Brainerd Rd,,Chattanooga,Hamilton,E Brainered Rd,,1,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.002514,-85.147593,POINT (-85.147593 35.002514),"(35.002514, -85.147593)",4,2019,6,29,13,5
19-067122,2019-07-09 06:50:00,7.0,1255 Central Ave,,Chattanooga,Hamilton,E 13th St,,1,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.034534,-85.295368,POINT (-85.295368 35.034534),"(35.034534, -85.295368)",4,2019,7,9,6,1
19-076880,2019-08-04 21:05:00,21.0,1816 Dodds Ave,SR-1,Chattanooga,Hamilton,18016 Dodds Ave,1.0,1,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.019143,-85.2716,POINT (-85.2716 35.019143),"(35.019143, -85.271600)",0,2019,8,4,21,6
19-076980,2019-08-05 06:40:00,6.5,975 E 3rd St,,Chattanooga,Hamilton,E 3rd St,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.0407327,-85.299871,POINT (-85.299871 35.0407327),"(35.0407327, -85.299871)",4,2019,8,5,6,0
19-082739,2019-08-20 07:45:00,8.0,1000 Hixson Pike,US-1000,Chattanooga,Hamilton,Tremont Street,,4,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.069184,-85.28933,POINT (-85.28933 35.069184),"(35.069184, -85.289330)",4,2019,8,20,7,1
19-084734,2019-08-25 02:30:00,2.5,7099 Highway 153,US-153,Chattanooga,Hamilton,Boy Scout Rd,,1,0,0,0,1,0,50.0,1,0,1,0,0.0,0.0,35.187101,-85.246378,POINT (-85.246378 35.187101),"(35.187101, -85.246378)",1,2019,8,25,2,6
19-085058,2019-08-26 00:59:00,1.0,4535 Highway 58,US-58,Chattanooga,Hamilton,Rocky River Rd,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.085699,-85.194881,POINT (-85.194881 35.085699),"(35.085699, -85.194881)",1,2019,8,26,0,0
19-089265,2019-09-05 23:00:00,23.0,2600 4th Ave,,Chattanooga,Hamilton,E 25th St Pl,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.015848,-85.280595,POINT (-85.280595 35.015848),"(35.015848, -85.280595)",0,2019,9,5,23,3
19-092746,2019-09-14 21:45:00,22.0,18100 Interstate 24 Wb Hwy,I-24,Chattanooga,Hamilton,4th Ave,181.0,1,0,1,0,1,0,55.0,1,0,1,0,0.0,1.0,35.016831,-85.281292,POINT (-85.281292 35.016831),"(35.016831, -85.281292)",0,2019,9,14,21,5
19-097945,2019-09-28 16:13:00,16.0,W Aquarium Way,,Chattanooga,Hamilton,Walnut St,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.055266,-85.307282,POINT (-85.307282 35.055266),"(35.055266, -85.307282)",4,2019,9,28,16,5
19-098456,2019-09-29 22:45:00,23.0,409 Veterans Way,,Chattanooga,Hamilton,N Sylvan Ave,,5,0,1,0,1,0,15.0,1,0,1,0,0.0,0.0,35.035578,-85.230847,POINT (-85.230847 35.035578),"(35.035578, -85.230847)",1,2019,9,29,22,6
19-103122,2019-10-11 21:38:00,21.5,1428 Jenkins Rd,,Chattanooga,Hamilton,Cleveland Ave,,1,0,1,0,1,0,45.0,1,0,1,0,0.0,0.0,34.993964,-85.289371,POINT (-85.289371 34.993964),"(34.993964, -85.289371)",1,2019,10,11,21,4
19-103324,2019-10-12 13:40:00,13.5,S Lyerly St,SR-0,Chattanooga,Hamilton,Bailey Ave,0.0,1,0,0,0,1,0,35.0,1,0,1,0,,,35.030994,-85.270124,POINT (-85.270124 35.030994),"(35.030994, -85.270124)",4,2019,10,12,13,5
19-108747,2019-10-27 13:27:00,13.5,652 E 10th St,,Chattanooga,Hamilton,Peeples St,,1,0,0,0,1,0,30.0,1,1,1,0,0.0,0.0,35.040827,-85.299219,POINT (-85.299219 35.040827),"(35.040827, -85.299219)",4,2019,10,27,13,6
19-109602,2019-10-29 20:39:00,20.5,2109 Morris Hill Rd,,Chattanooga,Hamilton,Belleau Woods Dr,,5,0,0,0,1,0,15.0,1,0,1,0,1.0,1.0,35.02297,-85.12391,POINT (-85.12391 35.02297),"(35.022970, -85.123910)",1,2019,10,29,20,1
19-114736,2019-11-13 09:00:00,9.0,1201 Boynton Dr,,Chattanooga,Hamilton,Gateway Ave,,4,0,0,0,1,0,,1,0,1,0,0.0,0.0,35.045229,-85.32022,POINT (-85.32022 35.045229),"(35.045229, -85.320220)",4,2019,11,13,9,2
19-114812,2019-11-13 12:13:00,12.0,143 N Market St,,Chattanooga,Hamilton,N Market St,,5,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.063047,-85.30872,POINT (-85.30872 35.063047),"(35.063047, -85.308720)",4,2019,11,13,12,2
19-117712,2019-11-21 19:25:00,19.5,2100 Mccallie Ave,,Chattanooga,Hamilton,South Willow St,,0,0,0,1,1,0,35.0,1,0,1,0,0.0,0.0,35.034853,-85.27185,POINT (-85.27185 35.034853),"(35.034853, -85.271850)",0,2019,11,21,19,3
19-118070,2019-11-22 17:55:00,18.0,1300 Workman Rd,,Chattanooga,Hamilton,Rossville Blvd.,,4,0,0,0,1,0,35.0,1,4,1,0,0.0,0.0,35.0129085,-85.228032,POINT (-85.228032 35.0129085),"(35.0129085, -85.228032)",1,2019,11,22,17,4
19-118652,2019-11-24 13:26:00,13.5,5972 Brainerd Rd,,Chattanooga,Hamilton,Brainerd Rd,,4,0,0,0,1,0,45.0,2,0,1,0,0.0,0.0,35.016971,-85.206001,POINT (-85.206001 35.016971),"(35.016971, -85.206001)",4,2019,11,24,13,6
19-119769,2019-11-27 16:40:00,16.5,Georgia Ave,,Chattanooga,Hamilton,E 5th St,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.040699,-85.300804,POINT (-85.300804 35.040699),"(35.040699, -85.300804)",4,2019,11,27,16,2
19-121866,2019-12-04 08:45:00,9.0,3300 Alton Park Blvd,,Chattanooga,Hamilton,West 33rd Street,,1,0,0,0,1,0,35.0,1,3,1,0,0.0,0.0,35.053737,-85.353159,POINT (-85.353159 35.053737),"(35.053737, -85.353159)",4,2019,12,4,8,2
19-122129,2019-12-04 20:05:00,20.0,,I-75,Chattanooga,Hamilton,East Brainerd Rd,,0,0,0,1,1,0,55.0,1,0,1,0,0.0,0.0,35.027319,-85.17255,POINT (-85.17255 35.027319),"(35.027319, -85.172550)",1,2019,12,4,20,2
19-127235,2019-12-19 12:51:00,13.0,7477 Commons Blvd,,Chattanooga,Hamilton,Commons Blvd,,1,0,0,0,1,0,,1,0,1,0,0.0,0.0,35.033141,-85.145593,POINT (-85.145593 35.033141),"(35.033141, -85.145593)",4,2019,12,19,12,3
19-127760,2019-12-20 18:00:00,18.0,3500 Rossville Blvd,,Chattanooga,Hamilton,E 35th St,,5,0,1,0,1,0,40.0,1,0,1,0,0.0,0.0,35.003278,-85.292176,POINT (-85.292176 35.003278),"(35.003278, -85.292176)",0,2019,12,20,18,4
19-128527,2019-12-23 07:18:00,7.5,5440 Highway 153,US-153,Chattanooga,Hamilton,North Point Blvd,,0,0,0,1,0,0,45.0,1,4,1,0,0.0,0.0,35.138778,-85.247194,POINT (-85.247194 35.138778),"(35.138778, -85.247194)",1,2019,12,23,7,0
19-130063,2019-12-27 18:13:00,18.0,904 N Orchard Knob Ave,,Chattanooga,Hamilton,Rawlings St,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.047855,-85.268016,POINT (-85.268016 35.047855),"(35.047855, -85.268016)",2,2019,12,27,18,4
20-005045,2020-01-14 21:53:00,22.0,3300 Rossville Blvd,,Chattanooga,Hamilton,33rd St,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.005972,-85.29307,POINT (-85.29307 35.005972),"(35.005972, -85.293070)",0,2020,1,14,21,1
20-007710,2020-01-22 15:15:00,15.5,1330 E 3rd St,,Chattanooga,Hamilton,Holtzlcaw Ave,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.043072,-85.279331,POINT (-85.279331 35.043072),"(35.043072, -85.279331)",4,2020,1,22,15,2
20-009487,2020-01-27 18:35:00,18.5,7987 E Brainerd Rd,,Chattanooga,Hamilton,Thelmeta Ave,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.005196,-85.151676,POINT (-85.151676 35.005196),"(35.005196, -85.151676)",0,2020,1,27,18,0
20-012270,2020-02-04 16:41:00,16.5,3100 Cummings Hwy,,Chattanooga,Hamilton,Aster Ave,,4,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.0373424,-85.317313,POINT (-85.317313 35.0373424),"(35.0373424, -85.317313)",4,2020,2,4,16,1
20-019660,2020-02-25 20:25:00,20.5,4211 Rossville Blvd,,Chattanooga,Hamilton,E 43rd St,,0,0,0,1,1,0,40.0,1,0,1,0,1.0,1.0,34.994056,-85.291635,POINT (-85.291635 34.994056),"(34.994056, -85.291635)",0,2020,2,25,20,1
20-023810,2020-03-08 14:32:00,14.5,1901 E 3RD ST,,Chattanooga,Hamilton,N Orchard Knob,,1,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.040848,-85.271906,POINT (-85.271906 35.040848),"(35.040848, -85.271906)",4,2020,3,8,14,6
20-024194,2020-03-09 16:27:00,16.5,3600 Brainerd Rd,,Chattanooga,Hamilton,McBrien Rd.,,5,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,34.9949758,-85.3385,POINT (-85.3385 34.9949758),"(34.9949758, -85.338500)",4,2020,3,9,16,0
20-025159,2020-03-12 07:27:00,7.5,2-8 Exit 181 On Ramp Wb rd,I-24,Chattanooga,Hamilton,4th Ave,,1,0,0,0,1,0,45.0,1,4,1,0,0.0,0.0,35.01715,-85.28045,POINT (-85.28045 35.01715),"(35.017150, -85.280450)",0,2020,3,12,7,3
20-025299,2020-03-12 15:36:00,15.5,3536 Brainerd Rd,,Chattanooga,Hamilton,N Germantown Rd,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.024755,-85.247548,POINT (-85.247548 35.024755),"(35.024755, -85.247548)",4,2020,3,12,15,3
20-027765,2020-03-19 07:00:00,7.0,S Germantown Rd,,Chattanooga,Hamilton,Wilcox Blvd,,1,0,1,0,1,0,35.0,1,0,1,0,,,35.051577,-85.253371,POINT (-85.253371 35.051577),"(35.051577, -85.253371)",3,2020,3,19,7,3
20-028919,2020-03-22 23:30:00,23.5,3450 Wilcox Blvd,US-12,Chattanooga,Hamilton,Wilcox Blvd,11.0,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.047062,-85.237198,POINT (-85.237198 35.047062),"(35.047062, -85.237198)",0,2020,3,22,23,6
20-033697,2020-04-05 20:35:00,20.5,1505 Mulberry St,,Chattanooga,Hamilton,E Main St,,1,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.025113,-85.278727,POINT (-85.278727 35.025113),"(35.025113, -85.278727)",0,2020,4,5,20,6
20-034662,2020-04-08 19:45:00,20.0,E 36th street,,Chattanooga,Hamilton,3rd avenue,,0,0,1,1,1,0,35.0,1,0,1,0,0.0,0.0,35.002497,-85.289383,POINT (-85.289383 35.002497),"(35.002497, -85.289383)",5,2020,4,8,19,2
20-041352,2020-04-29 08:40:00,8.5,959 Gateway Ave,,Chattanooga,Hamilton,959 Gateway Ave,,4,0,1,0,1,0,,1,0,1,0,0.0,0.0,35.045229,-85.32022,POINT (-85.32022 35.045229),"(35.045229, -85.320220)",4,2020,4,29,8,2
20-042600,2020-05-02 22:20:00,22.5,7748 Nautical Way,,Chattanooga,Hamilton,Holiday Hills Cir,,1,0,1,0,1,0,35.0,1,0,1,0,0.0,,35.080442,-85.16802,POINT (-85.16802 35.080442),"(35.080442, -85.168020)",1,2020,5,2,22,5
20-048016,2020-05-17 22:40:00,22.5,4th Ave,,Chattanooga,Hamilton,E 25th St,,5,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.015081,-85.281591,POINT (-85.281591 35.015081),"(35.015081, -85.281591)",0,2020,5,17,22,6
20-048502,2020-05-19 09:01:00,9.0,1100 E 3rd St,,Chattanooga,Hamilton,Central Ave,,4,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.046017,-85.288095,POINT (-85.288095 35.046017),"(35.046017, -85.288095)",4,2020,5,19,9,1
20-056719,2020-06-10 20:00:00,20.0,1426 Stratton Place Dr,,Chattanooga,Hamilton,E Brainerd Rd,,1,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.011049,-85.160485,POINT (-85.160485 35.011049),"(35.011049, -85.160485)",4,2020,6,10,20,2
20-058838,2020-06-16 16:00:00,16.0,3409 Clio Ave Private property,,Chattanooga,Hamilton,Private Property Driveway,,1,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.005409,-85.291976,POINT (-85.291976 35.005409),"(35.005409, -85.291976)",4,2020,6,16,16,1
20-059288,2020-06-17 21:38:00,21.5,2285 Wilcox Blvd,,Chattanooga,Hamilton,Dodson Ave,,5,0,1,0,1,0,15.0,1,4,1,0,0.0,0.0,35.053263,-85.260921,POINT (-85.260921 35.053263),"(35.053263, -85.260921)",0,2020,6,17,21,2
20-066160,2020-07-05 21:53:00,22.0,2909 Noa St,,Chattanooga,Hamilton,Stuart St,,5,0,1,0,1,0,25.0,1,0,1,0,0.0,1.0,35.069598,-85.245405,POINT (-85.245405 35.069598),"(35.069598, -85.245405)",0,2020,7,5,21,6
20-070750,2020-07-17 21:30:00,21.5,8001 Volkswagen Dr,,Chattanooga,Hamilton,Gate 9A Rd,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.080045,-85.132664,POINT (-85.132664 35.080045),"(35.080045, -85.132664)",1,2020,7,17,21,4
20-072098,2020-07-21 11:45:00,12.0,2001 E 23rd St,,Chattanooga,Hamilton,S. Orchard Knob Ave,,4,0,0,0,1,0,40.0,2,0,1,0,0.0,0.0,35.019679,-85.282975,POINT (-85.282975 35.019679),"(35.019679, -85.282975)",4,2020,7,21,11,1
20-078887,2020-08-07 19:04:00,19.0,E 11th St,SR-727,Chattanooga,Hamilton,Peeples St,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,1.0,35.040477,-85.299892,POINT (-85.299892 35.040477),"(35.040477, -85.299892)",4,2020,8,7,19,4
20-089148,2020-09-03 22:24:00,22.5,Long St,,Chattanooga,Hamilton,W 26th St,,4,0,0,0,1,0,15.0,1,0,1,0,0.0,1.0,35.024836,-85.314417,POINT (-85.314417 35.024836),"(35.024836, -85.314417)",0,2020,9,3,22,3
20-089911,2020-09-05 20:49:00,21.0,5400 Brainerd Rd,,Chattanooga,Hamilton,Pisgah Ave,,4,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.01038,-85.22103,POINT (-85.22103 35.01038),"(35.010380, -85.221030)",0,2020,9,5,20,5
20-091001,2020-09-08 16:37:00,16.5,1020 N Moore Rd,,Chattanooga,Hamilton,Belle Vista,,5,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.027863,-85.21911,POINT (-85.21911 35.027863),"(35.027863, -85.219110)",4,2020,9,8,16,1
20-093322,2020-09-14 18:25:00,18.5,400 N. Holtzclaw Ave,,Chattanooga,Hamilton,East 3rd St.,,1,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.044604,-85.281959,POINT (-85.281959 35.044604),"(35.044604, -85.281959)",5,2020,9,14,18,0
20-095018,2020-09-19 10:00:00,10.0,9200 Lee Hwy,,Chattanooga,Hamilton,Artesian circle,,4,0,0,0,1,0,35.0,1,1,1,0,0.0,0.0,35.08452,-85.06383,POINT (-85.06383 35.08452),"(35.084520, -85.063830)",4,2020,9,19,10,5
20-095146,2020-09-19 17:09:00,17.0,3614 Wilcox Blvd,,Chattanooga,Hamilton,Dogwood Dr,,1,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.045763,-85.233416,POINT (-85.233416 35.045763),"(35.045763, -85.233416)",4,2020,9,19,17,5
20-102319,2020-10-08 22:34:00,22.5,9050-9198 Lee Hwy,,Chattanooga,Hamilton,Little Debbie Pkwy,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.08456,-85.06419,POINT (-85.06419 35.08456),"(35.084560, -85.064190)",1,2020,10,8,22,3
20-102975,2020-10-10 19:18:00,19.5,W Aquarium Way,,Chattanooga,Hamilton,Chestnut St,,1,0,0,0,1,0,15.0,1,4,1,0,0.0,0.0,35.054733,-85.311857,POINT (-85.311857 35.054733),"(35.054733, -85.311857)",0,2020,10,10,19,5
20-104103,2020-10-13 19:52:00,20.0,4903 Brainerd Rd,,Chattanooga,Hamilton,N Moore Rd,,5,0,0,0,1,0,35.0,1,0,1,0,0.0,1.0,35.012915,-85.227459,POINT (-85.227459 35.012915),"(35.012915, -85.227459)",0,2020,10,13,19,1
20-106163,2020-10-19 14:35:00,14.5,4216 Midland Pike,SR-4216,Chattanooga,Hamilton,Talley Road,,1,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.0514,-85.2804,POINT (-85.2804 35.0514),"(35.05140, -85.28040)",4,2020,10,19,14,0
20-106494,2020-10-20 10:25:00,10.5,3330 Hixson Pike,,Chattanooga,Hamilton,Carter Dr,,4,0,1,0,1,0,40.0,1,0,1,0,0.0,0.0,35.101874,-85.274186,POINT (-85.274186 35.101874),"(35.101874, -85.274186)",4,2020,10,20,10,1
20-107428,2020-10-22 20:00:00,20.0,Cooley St,,Chattanooga,Hamilton,N Willow St,,5,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.052261,-85.265688,POINT (-85.265688 35.052261),"(35.052261, -85.265688)",5,2020,10,22,20,3
20-107955,2020-10-24 07:00:00,7.0,Lee Hwy,,Chattanooga,Hamilton,Tyner Rd,,4,0,0,0,1,0,45.0,1,1,1,0,0.0,0.0,35.055087,-85.143332,POINT (-85.143332 35.055087),"(35.055087, -85.143332)",4,2020,10,24,7,5
20-108879,2020-10-26 17:15:00,17.5,7205 Aventine Way,,Chattanooga,Hamilton,E Brainerd,,4,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.016396,-85.168561,POINT (-85.168561 35.016396),"(35.016396, -85.168561)",4,2020,10,26,17,0
20-112901,2020-11-06 14:57:00,15.0,501 Signal Mountain Rd,,Chattanooga,Hamilton,Mundy Street,,5,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.094368,-85.331318,POINT (-85.331318 35.094368),"(35.094368, -85.331318)",4,2020,11,6,14,4
20-114836,2020-11-11 18:00:00,18.0,1701-1799 E 37th St,,Chattanooga,Hamilton,Rossville Blvd,,1,0,1,0,1,0,30.0,1,4,1,0,0.0,0.0,35.001482,-85.291618,POINT (-85.291618 35.001482),"(35.001482, -85.291618)",0,2020,11,11,18,2
20-115153,2020-11-12 15:49:00,16.0,7500 Bonny Oaks Dr,,Chattanooga,Hamilton,Lee Hwy,,1,0,0,0,1,0,40.0,1,0,1,0,1.0,0.0,35.0607478,-85.134369,POINT (-85.134369 35.0607478),"(35.0607478, -85.134369)",4,2020,11,12,15,3
20-116395,2020-11-16 12:05:00,12.0,6th Ave,SR-2500,Chattanooga,Hamilton,E 25th Street Ct,,1,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.013672,-85.279925,POINT (-85.279925 35.013672),"(35.013672, -85.279925)",4,2020,11,16,12,0
20-117843,2020-11-20 10:20:00,10.5,3500 Brainerd Rd,,Chattanooga,Hamilton,N Germantown Rd,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.023571,-85.244828,POINT (-85.244828 35.023571),"(35.023571, -85.244828)",4,2020,11,20,10,4
20-120310,2020-11-27 12:54:00,13.0,6101 Lee Hwy,SR-6100,Chattanooga,Hamilton,Lee Hwy,,1,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.030545,-85.189874,POINT (-85.189874 35.030545),"(35.030545, -85.189874)",4,2020,11,27,12,4
20-121339,2020-11-30 14:00:00,14.0,7734 Lee Hwy,,Chattanooga,Hamilton,Bonny Oaks Dr,,5,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.062796,-85.130151,POINT (-85.130151 35.062796),"(35.062796, -85.130151)",4,2020,11,30,14,0
20-121641,2020-12-01 12:00:00,12.0,5928 Hixson Pike,,Chattanooga,Hamilton,Cassandra Smith Rd,,4,0,0,0,1,0,,1,0,1,0,0.0,0.0,35.147481,-85.20734,POINT (-85.20734 35.147481),"(35.147481, -85.207340)",4,2020,12,1,12,1
20-123606,2020-12-06 19:55:00,20.0,4300 Highway 58,,Chattanooga,Hamilton,Murray Hills Drive,,4,0,0,0,1,0,45.0,1,0,1,0,0.0,1.0,35.082562,-85.206217,POINT (-85.206217 35.082562),"(35.082562, -85.206217)",0,2020,12,6,19,6
20-126579,2020-12-15 10:05:00,10.0,3424 Rossville Blvd,,Chattanooga,Hamilton,E 35th St,,1,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.004258,-85.292268,POINT (-85.292268 35.004258),"(35.004258, -85.292268)",4,2020,12,15,10,1
20-129760,2020-12-24 06:12:00,6.0,116 Central Ave,,Chattanooga,Hamilton,East 3rd,,1,0,0,0,1,0,25.0,1,4,1,0,0.0,0.0,35.04786,-85.287357,POINT (-85.287357 35.04786),"(35.047860, -85.287357)",0,2020,12,24,6,3
20-129939,2020-12-24 17:41:00,17.5,490 Greenway View Dr,,Chattanooga,Hamilton,Brainerd rd,,1,0,0,0,1,0,15.0,1,1,1,0,0.0,0.0,35.008709,-85.205213,POINT (-85.205213 35.008709),"(35.008709, -85.205213)",0,2020,12,24,17,3
20-130803,2020-12-27 21:00:00,21.0,120 Market St,,Chattanooga,Hamilton,W Aquarium Way,,4,0,0,0,1,0,25.0,1,0,1,0,0.0,1.0,35.055214,-85.309333,POINT (-85.309333 35.055214),"(35.055214, -85.309333)",0,2020,12,27,21,6
21-000491,2021-01-02 07:32:00,7.5,6725 Dupre Rd,SR-6725,Chattanooga,Hamilton,Hickory Valley Rd,,1,0,1,0,1,0,25.0,1,0,1,0,0.0,0.0,35.02471,-85.180158,POINT (-85.180158 35.02471),"(35.024710, -85.180158)",3,2021,1,2,7,5
21-001351,2021-01-04 17:10:00,17.0,1804 Gunbarrel Rd,,Chattanooga,Hamilton,Crane Rd,,1,0,1,0,1,0,,1,0,1,0,0.0,0.0,35.023735,-85.158512,POINT (-85.158512 35.023735),"(35.023735, -85.158512)",4,2021,1,4,17,0
21-004955,2021-01-15 20:02:00,20.0,Amnicola Hwy,,Chattanooga,Hamilton,Judd Rd,,5,0,0,0,1,0,50.0,1,0,1,0,0.0,1.0,35.084474,-85.262399,POINT (-85.262399 35.084474),"(35.084474, -85.262399)",0,2021,1,15,20,4
