Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,Pedestrian Involved,Bicycle Involved,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition
23-131640,12/11/2023 07:37:00 PM,19.5,2017 Gunbarrel Rd,,Chattanooga,Hamilton,Goodwin Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,15,1,Clear,Yes,No,,,34.997952,-85.145693,POINT (-85.145693 34.997952),"(34.997952, -85.145693)",Dark - Lighted
23-131748,12/12/2023 06:40:00 AM,6.5,200 W 38th St,,Chattanooga,Hamilton,Huges Ave,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,25,1,Clear,Yes,No,No,No,35.005769,-85.312336,POINT (-85.312336 35.005769),"(35.005769, -85.312336)",Daylight
23-016101,02/14/2023 08:33:00 PM,20.5,18120 Interstate 24 Eastbound,I-24,Chattanooga,Hamilton,Interstate 75,181.2,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,Yes,No,55,1,Clear,Yes,No,No,No,35.015381,-85.276945,POINT (-85.276945 35.015381),"(35.015381, -85.276945)",Dark - Lighted
23-006357,01/18/2023 08:25:00 PM,20.5,,I-24,Chattanooga,Hamilton,Browns Ferry Rd,177.2,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,Yes,No,55,1,Rain,Yes,No,No,No,35.0186462,-85.331377,POINT (-85.331377 35.0186462),"(35.0186462, -85.331377)",Dark - Not Lighted
22-108386,10/04/2022 04:46:00 PM,17,7001 Lee Hwy,,Chattanooga,Hamilton,Shallowford Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,45,1,Clear,Yes,No,No,No,35.04497,-85.16237,POINT (-85.16237 35.04497),"(35.044970, -85.162370)",Daylight
23-100056,09/12/2023 08:45:00 PM,21,1710 Gunbarrel Rd,,Chattanooga,Hamilton,Ziegler Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,,1,Clear,Yes,No,No,No,35.020977,-85.15991,POINT (-85.15991 35.020977),"(35.020977, -85.159910)",Dark - Lighted
23-009878,01/28/2023 04:02:00 PM,16,7630 E Brainerd Rd,,Chattanooga,Hamilton,Mackey Branch Dr,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,45,1,Clear,Yes,No,No,No,35.011617,-85.157779,POINT (-85.157779 35.011617),"(35.011617, -85.157779)",Daylight
23-014850,02/11/2023 12:00:00 AM,,602 Central Ave,,Chattanooga,Hamilton,Vine St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,25,1,Clear,Yes,No,No,Yes,35.043677,-85.289771,POINT (-85.289771 35.043677),"(35.043677, -85.289771)",Dark - Lighted
22-107804,10/03/2022 06:47:00 AM,7,Grubb Rd,,Chattanooga,Hamilton,Highway 153,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.158162,-85.248507,POINT (-85.248507 35.158162),"(35.158162, -85.248507)",Dark - Not Lighted
23-085509,08/07/2023 07:24:00 AM,7.5,3126 Alton Park Blvd,,Chattanooga,Hamilton,W 31st St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,15,1,Clear,Yes,No,No,No,35.01695,-85.312566,POINT (-85.312566 35.01695),"(35.016950, -85.312566)",Daylight
23-005718,01/17/2023 05:18:00 AM,5.5,4101 Jerome Ave,,Chattanooga,Hamilton,E 39th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,15,1,Rain,Yes,No,No,No,34.996963,-85.301073,POINT (-85.301073 34.996963),"(34.996963, -85.301073)",Dark - Lighted
23-078176,07/20/2023 11:08:00 AM,11,7640 E Brainerd Rd,,Chattanooga,Hamilton,E Brainerd Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,,1,Clear,Yes,No,No,No,35.011033,-85.15783,POINT (-85.15783 35.011033),"(35.011033, -85.157830)",Daylight
23-029768,03/23/2023 12:13:00 PM,12,Vine St,,Chattanooga,Hamilton,Houston St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,25,1,Clear,Yes,No,No,No,35.049178,-85.302365,POINT (-85.302365 35.049178),"(35.049178, -85.302365)",Daylight
23-121422,11/11/2023 12:10:00 AM,24,1194 Hooker Rd,,Chattanooga,Hamilton,E 49th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,30,1,Rain,Yes,No,No,No,34.985076,-85.287463,POINT (-85.287463 34.985076),"(34.985076, -85.287463)",Dark - Not Lighted
23-073857,07/09/2023 07:40:00 PM,19.5,2600-2706 Walker Rd,,Chattanooga,Hamilton,Standifer Gap Road,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,30,1,Clear,Yes,No,No,No,35.054775,-85.138024,POINT (-85.138024 35.054775),"(35.054775, -85.138024)",Daylight
